erziehen;воспитывать, выращивать
die Erziehung;образование, воспитание
die Ursache;причина
zulassen;дозволять, разрешать, позволять
manchmal;иногда
geschieden;разведенный
der Verein; объединение, союз, общество
getrennt;разделенный, раздельный
die Wohngemeinschaft;общая квартира
das Dorf;деревня
faulenzen;бездельничать
der Kasten;коробка, ящик
charmant;очаровательный
ehrgeizig;амбициозный
gebildet;образованный
ehrlich;честный
zufrieden;довольный
zuverlässig;надежный
verantwortungsbewusst;ответственный
geduldig;терпеливый, терпеливо
die Witzigkeit;остроумие
die Ehrgeizigkeit;амбициозность
die Ehrlichkeit;правда, правдивость
die Schüchternheit;застенчивость
die Freundlichkeit;дружелюбие
die Zuverlässigkeit;надежность
die Hilfsbereitschaft;полезность, готовность помочь
die Zufriedenheit;удовлетворенность, удовлетворение
das Verantwortungsbewusstsein;чувство ответственности
die Beziehung;отношения (между людьми)
zusammenfassung;итого, в совокупности
gehören;принадлежать, относиться
die Laune (die Launen);настроение
träumen von (+datt);мечтать о чем-то
draußen;снаружи, вне
die Frage stellen;задавать вопрос, ставить вопрос
anstrengend;утомительный, напряженный
kümmern (sich);заботиться, огорчать, огорчаться
die Nachricht (die Nachrichten);новость, известие, сообщение
der Neid;зависть
nachstellen;подстравиться
abstimmen;голосовать, согласовывать
unterstützen;поддерживать
unternehmen;предпринимать, совершать
eng;тесный, узкий, близкий, узко, плотно
einverstanden;согласный
höflich;вежливый
großzügig;щедрый, масштабный
unternehmungslustig;предприимчивый
verständnisvoll;понимающий, чуткий
verschwiegen;скрытный, молчаливый
ich bin ärgerlich auf (+akk);я зол на тебя
reinigen;чистить, мыть, очищать
die Reinigung;химчистка
zurückkommen;возвращаться
der Held (die Helden);герой
die Heldenschaft;геройство
die Wissenschaft;наука
der Wissenschaftler (die Wissenschaftler);научный работник, ученый
die Wirkung (die Wirkungen);действие, эффект
ausdrücken;впечатлить, выражать
